Pincode,Village/Locality name,Sub-distname,Districtname,StateName
560040,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560041,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560041,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560042,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560043,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560043,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560043,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560045,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560045,Rachenahalli,Bangalore South,BANGALORE,KARNATAKA
560045,Amani Byrathikhane,Bangalore South,BANGALORE,KARNATAKA
560045,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560045,Thanisandra,Bangalore South,BANGALORE,KARNATAKA
560046,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560047,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560047,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560048,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560048,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560049,Adur,Bangalore South,BANGALORE,KARNATAKA
560049,Gundur,Bangalore South,BANGALORE,KARNATAKA
560049,Hancharahalli,Bangalore South,BANGALORE,KARNATAKA
560049,Medihalli,Hosakote,BANGALORE RURAL,KARNATAKA
560049,Vanajanahalli,Bangalore South,BANGALORE,KARNATAKA
560049,Bandapura,Bangalore South,BANGALORE,KARNATAKA
560049,Bidarahalli,Bangalore South,BANGALORE,KARNATAKA
560049,Honachanahalli,Hosakote,BANGALORE RURAL,KARNATAKA
560049,Kammasandra,Bangalore South,BANGALORE,KARNATAKA
560049,Kodigehalli,Bangalore South,BANGALORE,KARNATAKA
560049,Rampura,Bangalore South,BANGALORE,KARNATAKA
560049,Avalahalli,Bangalore South,BANGALORE,KARNATAKA
560049,Kurudusonnenahalli,Bangalore South,BANGALORE,KARNATAKA
560049,Raghuvanahalli,Bangalore South,BANGALORE,KARNATAKA
560049,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560049,Bommenahalli,Bangalore South,BANGALORE,KARNATAKA
560049,Chikkasandra,Bangalore South,BANGALORE,KARNATAKA
560049,Huskur,Bangalore South,BANGALORE,KARNATAKA
560049,Jothipura,Bangalore South,BANGALORE,KARNATAKA
560049,Shringaripura,Bangalore South,BANGALORE,KARNATAKA
560049,Bendiganahalli,Bangalore South,BANGALORE,KARNATAKA
560049,Byappanahalli,Bangalore South,BANGALORE,KARNATAKA
560049,Katamnallur,Bangalore South,BANGALORE,KARNATAKA
560049,Marasandra Amanikere,Bangalore North,BANGALORE,KARNATAKA
560049,Nimbekaipura,Bangalore South,BANGALORE,KARNATAKA
560049,Vaderahalli,Bangalore North,BANGALORE,KARNATAKA
560049,Veerenahalli,Bangalore South,BANGALORE,KARNATAKA
560049,Cheemasandra,Bangalore South,BANGALORE,KARNATAKA
560049,Hirandahalli,Bangalore South,BANGALORE,KARNATAKA
560049,Huvinane,Bangalore South,BANGALORE,KARNATAKA
560049,Kattugollahalli,Bangalore South,BANGALORE,KARNATAKA
560049,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560049,Bidare Agrahara,Bangalore South,BANGALORE,KARNATAKA
560049,Konadasapura,Bangalore South,BANGALORE,KARNATAKA
560049,Mandur,Bangalore South,BANGALORE,KARNATAKA
560049,Marasandra,Bangalore North,BANGALORE,KARNATAKA
560050,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560050,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560050,Bidarahalli,Bangalore South,BANGALORE,KARNATAKA
560050,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560051,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560053,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560054,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560054,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560054,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560055,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560056,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560056,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560056,Ullalu Upanagara DBO,Bangalore South,BANGALORE,KARNATAKA
560056,Mallathahalli NDBO,Bangalore South,BANGALORE,KARNATAKA
560057,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560058,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560058,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560059,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560060,Doddabele,Bangalore South,BANGALORE,KARNATAKA
560060,Hemmigepura,Bangalore South,BANGALORE,KARNATAKA
560060,Kommaghatta - Krishnasagara,Bangalore South,BANGALORE,KARNATAKA
560060,M.Krishnasagara,Bangalore South,BANGALORE,KARNATAKA
560060,Maragondanahalli,Bangalore South,BANGALORE,KARNATAKA
560060,Somapura,Bangalore South,BANGALORE,KARNATAKA
560060,Varahasandra,Bangalore South,BANGALORE,KARNATAKA
560060,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560060,Kenchanapura,Bangalore South,BANGALORE,KARNATAKA
560060,Lingadheeranahalli,Bangalore South,BANGALORE,KARNATAKA
560060,Ramasandra,Bangalore South,BANGALORE,KARNATAKA
560060,Sulikere,Bangalore South,BANGALORE,KARNATAKA
560060,Bheemanakuppe- Ramasagara,Bangalore South,BANGALORE,KARNATAKA
560060,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560060,Sonnenahalli,Bangalore South,BANGALORE,KARNATAKA
560060,Manganahalli,Bangalore North,BANGALORE,KARNATAKA
560060,Kengeri Gollahalli,Bangalore South,BANGALORE,KARNATAKA
560060,Kommaghatta,Bangalore South,BANGALORE,KARNATAKA
560061,Thurahalli,Bangalore South,BANGALORE,KARNATAKA
560061,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560061,Badamanavarthekaval,Bangalore South,BANGALORE,KARNATAKA
560061,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560061,Gabbalalu,Bangalore South,BANGALORE,KARNATAKA
560061,Vasanthapura,Bangalore South,BANGALORE,KARNATAKA
560062,Bangalore South,Bangalore South,BANGALORE,KARNATAKA
560063,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560063,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560064,Thirumenahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Avalahalli,Anekal,BANGALORE,KARNATAKA
560064,Bellahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Jarakbandekaval,Bangalore North,BANGALORE,KARNATAKA
560064,Kempanahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Kenchenahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Naganahalli,Bangalore South,BANGALORE,KARNATAKA
560064,Adiganahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Byappanahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Muddanahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Avalahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Chokkanahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Gantiganahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Kattigenahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Krishnasagara,Bangalore North,BANGALORE,KARNATAKA
560064,Madappanahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Nagadasanahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Rajanukunte,Bangalore North,BANGALORE,KARNATAKA
560064,Ramagondanahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560064,Singanayakanahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Singanayakanahalli Amanikere,Bangalore North,BANGALORE,KARNATAKA
560064,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560064,Honnenahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Ittagallpura,Bangalore North,BANGALORE,KARNATAKA
560064,Lakshmisagara,Bangalore North,BANGALORE,KARNATAKA
560064,Manchenahalli,Bangalore North,BANGALORE,KARNATAKA
560064,Ananthapura,Bangalore North,BANGALORE,KARNATAKA
560064,Harohalli,Bangalore North,BANGALORE,KARNATAKA
560064,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560064,Vasudevapura,Bangalore North,BANGALORE,KARNATAKA
560064,Veerasagara,Bangalore North,BANGALORE,KARNATAKA
560065,Bangalore North,Bangalore North,BANGALORE,KARNATAKA
560066,Ramagondanahalli,Bangalore South,BANGALORE,KARNATAKA
560066,Nagondahalli,Bangalore South,BANGALORE,KARNATAKA
560066,Thubarahalli,Bangalore South,BANGALORE,KARNATAKA
560066,Khanekandaya,Bangalore South,BANGALORE,KARNATAKA
560067,Arehalli,Hosakote,BANGALORE RURAL,KARNATAKA
560067,Gundur,Hosakote,BANGALORE RURAL,KARNATAKA
560067,Koralur,Hosakote,BANGALORE RURAL,KARNATAKA
560067,Medimallasandra,Hosakote,BANGALORE RURAL,KARNATAKA
560067,Obalapura,Hosakote,BANGALORE RURAL,KARNATAKA
560067,Tharabahalli,Hosakote,BANGALORE RURAL,KARNATAKA
560067,Devanagondi Hosahalli,Hosakote,BANGALORE RURAL,KARNATAKA
560067,Muthakadahalli,Hosakote,BANGALORE RURAL,KARNATAKA
560067,Somalapura,Hosakote,BANGALORE RURAL,KARNATAKA
560067,Appajipura,Hosakote,BANGALORE RURAL,KARNATAKA
560067,Handenahalli,Hosakote,BANGALORE RURAL,KARNATAKA
560067,Kanekallu,Hosakote,BANGALORE RURAL,KARNATAKA
560067,Lingadeeramallasandra,Hosakote,BANGALORE RURAL,KARNATAKA
560067,Thathnur Plantation,Hosakote,BANGALORE RURAL,KARNATAKA
560067,Devanagondi,Hosakote,BANGALORE RURAL,KARNATAKA
560067,Hemmandahalli,Hosakote,BANGALORE RURAL,KARNATAKA
560067,K.Channasandra,Bangalore South,BANGALORE,KARNATAKA
560067,Kodihalli,Hosakote,BANGALORE RURAL,KARNATAKA
560067,Naduvathi,Hosakote,BANGALORE RURAL,KARNATAKA
